,world_index,X,Y
1087,563,1063,160
1088,563,1063,160
1089,564,1100,146
1090,564,1100,145
1091,565,1061,161
1092,565,1061,161
1093,566,1061,162
1094,566,1061,162
1095,567,1060,162
1096,567,1060,162
1097,568,1166,126
1098,568,1166,126
1099,569,758,511
1100,569,758,511
1101,570,1167,126
1102,570,1167,126
1103,571,273,698
1104,571,264,699
1105,572,4962,727
1106,572,4454,705
1107,573,0,0
1108,574,0,0
1109,575,0,0
1110,576,0,0
1111,577,0,0
1112,581,2951,639
1113,582,1772,383
1114,582,2566,-20
1115,583,3062,341
1116,583,2302,480
1117,584,1744,446
1118,584,1750,449
1119,585,3379,907
1120,585,3830,900
1121,587,0,0
1122,588,0,0
1123,594,3335,965
1124,594,3361,942
1125,595,1986,994
1126,602,3193,965
1127,602,3129,878
1128,603,2812,713
1129,603,2679,645
1130,604,2658,609
1131,604,2630,612
1132,605,2623,607
1133,605,2602,623
1134,606,2626,613
1135,606,2601,623
1136,607,2592,643
1137,607,2577,676
1138,608,2641,655
1139,608,2621,638
1140,609,2609,625
1141,609,2602,658
1142,610,2628,606
1143,610,2628,598
1144,611,2642,601
1145,611,2631,624
1146,612,2638,635
1147,612,2618,660
1148,613,2630,674
1149,613,2626,678
1150,614,2592,690
1151,614,2587,675
1152,615,2515,662
1153,615,2511,657
1154,616,2576,639
1155,616,2591,649
1156,617,2565,655
1157,617,2574,676
1158,618,2563,671
1159,618,2581,682
1160,619,2601,661
1161,619,2625,656
1162,620,2619,650
1163,620,2518,738
1164,621,2521,762
1165,621,2508,771
1166,622,2499,795
1167,622,2651,780
1168,623,3167,942
1169,623,3622,1146
1170,624,3665,580
1171,625,3059,594
1172,626,2791,1010
1173,626,2801,989
1174,627,7282,6716
1175,627,5911,4820
1176,628,32,3757
1177,628,-5940,10139
1178,629,3619,905
1179,629,3619,918
1180,630,3623,917
1181,630,3583,917
1182,631,3623,900
1183,631,3652,896
1184,632,3563,991
1185,632,3524,1008
1186,633,3604,971
1187,633,3607,984
1188,634,3681,1025
1189,634,3673,1024
1190,635,3524,839
1191,635,3493,734
1192,636,3445,718
1193,636,3439,710
1194,637,3439,699
1195,637,3442,693
1196,638,3435,688
1197,638,3439,692
1198,639,3433,697
1199,639,3435,695
1200,640,3497,657
1201,640,3499,658
1202,641,3473,680
1203,641,3477,707
1204,642,3393,766
1205,642,3394,785
1206,643,3471,736
1207,643,3497,703
1208,644,3452,727
1209,644,3461,731
1210,645,3368,747
1211,645,3376,749
1212,646,3395,753
1213,646,3401,755
1214,647,2925,648
1215,647,2924,648
1216,648,3412,732
1217,648,3404,736
1218,649,3479,731
1219,649,3482,736
1220,650,2443,613
1221,650,2442,613
1222,651,2947,635
1223,651,2947,635
1224,652,3359,757
1225,652,3362,759
1226,653,3360,828
1227,653,3363,831
1228,654,3359,785
1229,654,3363,785
1230,655,3415,864
1231,655,3419,843
1232,656,2442,613
1233,656,2442,613
1234,657,3380,832
1235,657,3383,834
1236,658,3387,826
1237,658,3390,823
1238,659,2442,613
1239,659,2442,613
1240,660,3437,858
1241,660,3439,857
1242,661,2949,638
1243,661,2949,638
1244,662,3423,766
1245,662,3431,761
1246,663,2951,639
1247,663,2951,639
1248,664,3458,830
1249,664,3487,793
1250,665,3436,851
1251,665,3430,878
1252,666,3351,815
1253,666,3351,819
1254,667,3394,888
1255,667,3395,889
1256,668,2439,613
1257,668,2439,613
1258,669,2442,613
1259,669,2442,613
1260,670,3450,809
1261,670,3449,819
1262,671,2781,1043
1263,671,2781,1043
1264,672,3343,853
1265,672,3345,854
1266,673,3449,869
1267,673,3450,869
1268,674,3529,930
1269,674,3533,931
1270,675,3447,860
1271,675,3449,862
1272,676,3443,837
1273,676,3444,837
1274,677,3455,834
1275,677,3455,833
1276,678,3364,833
1277,678,3365,832
1278,679,3408,858
1279,679,3411,856
1280,680,3375,818
1281,680,3377,816
1282,681,3458,827
1283,681,3462,825
1284,682,3454,829
1285,682,3460,830
1286,683,2954,640
1287,683,2954,640
1288,684,2425,601
1289,684,2438,610
1290,685,2768,1045
1291,685,2764,1047
1292,686,2442,613
1293,686,2442,613
1294,687,2952,641
1295,687,2952,643
1296,688,2435,614
1297,689,2933,636
1298,689,2934,636
1299,690,2790,566
1300,690,2693,521
1301,691,2444,604
1302,691,2443,606
1303,692,1835,-19
1304,692,3373,887
1305,693,2588,736
1306,693,2605,731
1307,694,2603,719
1308,694,2611,727
1309,695,2629,701
1310,695,2631,701
1311,696,2641,702
1312,696,2639,704
1313,697,2619,712
1314,697,2618,715
1315,698,2630,714
1316,698,2633,707
1317,699,2624,733
1318,699,2639,703
1319,700,2647,702
1320,700,2645,702
1321,701,2640,723
1322,701,2649,700
1323,702,2652,716
1324,702,2647,716
1325,703,2657,693
1326,703,2650,699
1327,704,2644,705
1328,704,2628,707
1329,705,2606,663
1330,705,2588,669
1331,706,2447,607
1332,706,2450,611
1333,707,1270,172
1334,708,2449,622
1335,708,2449,622
1336,709,2442,613
1337,709,2442,613
1338,710,3576,945
1339,710,3540,927
1340,711,3524,846
1341,711,3486,847
1342,712,3377,944
1343,712,3376,953
1344,713,2952,639
1345,713,2952,639
1346,714,3336,903
1347,714,3331,902
1348,715,3478,936
1349,715,3472,931
1350,716,3543,981
1351,716,3534,975
1352,717,3332,938
1353,717,3330,939
1354,718,3432,954
1355,718,3426,948
1356,719,3358,901
1357,719,3359,898
1358,720,3293,923
1359,720,3293,921
1360,721,3433,922
1361,721,3433,921
1362,722,3430,964
1363,722,3428,960
1364,723,3389,920
1365,723,3372,942
1366,724,3396,967
1367,724,3390,986
1368,725,3336,1051
1369,725,3334,1058
1370,726,3362,1085
1371,726,3361,1087
1372,727,3352,1031
1373,727,3350,1031
1374,728,3451,1070
1375,728,3450,1074
1376,729,3348,1043
1377,729,3345,1041
1378,730,3383,1020
1379,730,3312,1062
1380,731,3229,1141
1381,731,3218,1148
1382,732,3291,1059
1383,732,3289,1057
1384,733,3179,1117
1385,733,3180,1110
1386,734,3238,1053
1387,734,3236,1045
1388,735,3216,1132
1389,735,3217,1125
1390,736,3158,1123
1391,736,3146,1131
1392,737,3439,1846
1393,737,3429,1836
1394,738,3146,1211
1395,738,3146,1206
1396,739,3314,1449
1397,739,3315,1440
1398,740,2874,1381
1399,740,2879,1371
1400,741,3267,1243
1401,741,3267,1237
1402,742,3218,1150
1403,742,3217,1147
1404,743,3215,1201
1405,743,3213,1199
1406,744,3106,1124
1407,744,3107,1122
1408,745,2879,709
1409,745,2879,709
1410,746,3496,1204
1411,746,3471,1169
1412,747,3379,1459
1413,747,3373,1446
1414,748,3332,1502
1415,748,3330,1496
1416,749,-137,-7283
1417,749,-510,-8229
1418,750,3234,1162
1419,750,3234,1160
1420,751,2900,733
1421,751,2900,734
1422,752,3232,1066
1423,752,3235,1068
1424,753,2994,846
1425,753,2994,846
1426,754,2987,929
1427,754,2987,929
1428,755,3314,1334
1429,755,3315,1335
1430,756,3223,1019
1431,756,3261,926
1432,757,3188,803
1433,757,3313,740
1434,758,3465,704
1435,758,3494,682
1436,759,3456,678
1437,759,3436,701
1438,760,3445,726
1439,760,3433,722
1440,761,3446,727
1441,761,3447,732
1442,762,3452,737
1443,762,3453,739
1444,763,3475,733
1445,763,3482,741
1446,764,3484,716
1447,764,3461,738
1448,765,3472,719
1449,765,3481,715
1450,766,3477,693
1451,766,3473,698
1452,767,3480,685
1453,767,3477,707
1454,768,3478,704
1455,768,3469,700
1456,769,3462,695
1457,769,3465,699
1458,770,3472,714
1459,770,3468,764
1460,771,3460,766
1461,771,3461,774
1462,772,3451,773
1463,772,3453,774
1464,773,3449,770
1465,773,3461,768
1466,774,2442,613
1467,774,2442,613
1468,775,3455,770
1469,775,3452,773
1470,776,3476,761
1471,776,3489,762
1472,777,3504,768
1473,777,3492,751
1474,778,3527,745
1475,778,3537,737
1476,779,3491,718
1477,780,3571,809
1478,780,3577,803
1479,781,3509,754
1480,781,3499,779
1481,782,3490,771
1482,782,3492,779
1483,783,3461,762
1484,783,3456,788
1485,784,3448,790
1486,784,3451,788
1487,785,3451,772
1488,785,3457,775
1489,786,3450,773
1490,786,3454,773
1491,787,3454,767
1492,787,3383,839
1493,788,3285,907
1494,788,3206,1083
1495,789,2781,1044
1496,789,2781,1044
1497,790,2780,1042
1498,790,2780,1042
1499,791,2777,1029
1500,791,2778,1030
1501,792,3132,868
1502,792,3131,859
1503,793,2781,1047
1504,793,2780,1047
1505,794,2757,1064
1506,794,2756,1065
1507,795,2772,1042
1508,795,2773,1042
1509,796,2948,1237
1510,796,2956,1227
1511,797,2949,1239
1512,797,2957,1234
1513,798,2989,1206
1514,798,2996,1201
1515,799,2967,1219
1516,799,2921,1246
1517,800,2912,1225
1518,800,2910,1218
1519,801,3019,1146
1520,801,3023,1142
1521,802,2990,1146
1522,802,2998,1145
1523,803,2897,1205
1524,803,2900,1199
1525,804,2913,1200
1526,804,2919,1201
1527,805,2891,1218
1528,805,2818,1251
1529,806,2633,1327
1530,806,2574,1331
1531,807,2599,1264
1532,807,2600,1255
1533,808,2577,1271
1534,808,2588,1267
1535,809,2600,1244
1536,809,2615,1244
1537,810,2715,1247
1538,810,2727,1243
1539,811,2684,1233
1540,811,2700,1228
1541,812,2780,1044
1542,812,2780,1044
1543,813,2620,1050
1544,813,2630,1040
1545,814,2643,1080
1546,814,2649,1079
1547,815,2510,1014
1548,815,2517,1017
1549,816,2691,1076
1550,816,2715,1056
1551,817,2728,1015
1552,817,2736,1011
1553,818,2735,1010
1554,818,2739,1016
1555,819,2741,1020
1556,819,2744,1032
1557,820,2745,986
1558,820,2747,990
1559,821,2754,935
1560,821,2756,938
1561,822,2743,1037
1562,822,2746,1040
1563,823,2758,1047
1564,823,2765,1060
1565,824,2764,1061
1566,824,2765,1065
1567,825,2766,1068
1568,825,2766,1075
1569,826,2800,1020
1570,826,2803,1025
1571,827,2769,1068
1572,827,2770,1071
1573,828,2772,1045
1574,828,2763,1041
1575,829,2760,1035
1576,829,2758,1030
1577,830,2758,1014
1578,830,2756,1010
1579,831,2748,1023
1580,831,2746,1025
1581,832,2710,946
1582,832,2707,946
1583,833,2759,1006
1584,833,2758,1007
1585,834,2750,1014
1586,834,2750,1017
1587,835,2747,1013
1588,835,2747,1016
1589,836,2692,949
1590,836,2694,951
1591,837,2760,1085
1592,837,2768,1110
1593,838,2768,1117
1594,838,2768,1118
1595,839,2770,1126
1596,839,2774,1127
1597,840,2784,1131
1598,840,2786,1126
1599,841,2793,1124
1600,841,2795,1116
1601,842,2801,1092
1602,842,2797,1084
1603,843,2789,1082
1604,843,2785,1080
1605,844,2793,1054
1606,844,2791,1055
1607,845,2777,1074
1608,845,2777,1073
1609,846,2772,1074
1610,846,2771,1073
1611,847,2770,1081
1612,847,2769,1082
1613,848,2772,1075
1614,848,2772,1076
1615,849,2776,1076
1616,849,2759,1061
1617,850,2750,1062
1618,850,2746,1057
1619,851,2745,1055
1620,851,2742,1054
1621,852,2742,1053
1622,852,2739,1052
1623,853,2676,962
1624,853,2675,961
1625,854,2682,961
1626,854,2681,960
1627,855,2729,1058
1628,855,2727,1058
1629,856,2728,1060
1630,856,2727,1059
1631,857,2725,1053
1632,857,2724,1052
1633,858,2724,1053
1634,858,2723,1053
1635,859,2738,1025
1636,859,2737,1023
1637,860,2716,1065
1638,860,2715,1063
1639,861,2713,1056
1640,861,2713,1054
1641,862,2711,1047
1642,862,2710,1045
1643,863,2708,1041
1644,863,2708,1041
1645,864,2707,1041
1646,864,2708,1042
1647,865,2705,1048
1648,865,2706,1049
1649,866,2724,1023
1650,866,2726,1025
1651,867,2728,1022
1652,867,2729,1024
1653,868,2715,1045
1654,868,2725,1060
1655,869,2744,1048
1656,869,2748,1055
1657,870,2721,1107
1658,870,2722,1108
1659,871,2749,1059
1660,871,2750,1059
1661,872,2733,1094
1662,872,2733,1094
1663,873,2718,1121
1664,873,2719,1120
1665,874,2664,1007
1666,874,2660,1003
1667,875,2716,1125
1668,875,2710,1113
1669,876,2721,1002
1670,876,2720,1000
1671,877,2714,1030
1672,877,2714,1029
1673,878,2655,985
1674,878,2655,986
1675,879,2705,1091
1676,879,2705,1091
1677,880,2702,1089
1678,880,2701,1090
1679,881,2715,979
1680,881,2715,980
1681,882,2705,1001
1682,882,2705,1002
1683,883,2696,1104
1684,883,2697,1104
1685,884,2706,1065
1686,884,2706,1064
1687,885,2711,1106
1688,885,2711,1105
1689,886,2842,1273
1690,886,3054,1224
1691,887,2442,613
1692,887,2442,613
1693,888,2784,1045
1694,888,2784,1045
1695,889,2779,1041
1696,889,2779,1041
1697,890,2775,1036
1698,893,2781,1044
1699,894,3246,1131
1700,894,3238,1124
1701,895,3290,1259
1702,895,3266,1255
1703,896,3269,1242
1704,896,3262,1217
1705,897,3303,1170
1706,897,3333,1137
1707,898,3361,1162
1708,898,3368,1157
1709,899,3384,1113
1710,899,3379,1116
1711,900,3382,1148
1712,900,3363,1158
1713,901,3372,1217
1714,901,3350,1219
1715,902,2781,1044
1716,902,2774,1046
1717,903,3455,1471
1718,903,3584,1151
1719,904,3675,983
1720,904,3656,915
1721,905,3696,936
1722,905,3690,935
1723,906,3602,995
1724,906,3569,993
1725,907,3640,1016
1726,907,3718,982
1727,908,3693,946
1728,908,3723,1025
1729,909,3767,1133
1730,909,3760,1141
1731,910,3668,1139
1732,910,3685,1146
1733,911,3692,1129
1734,911,3684,1095
1735,912,3602,950
1736,912,3549,886
1737,913,3540,829
1738,913,3538,815
1739,914,3531,804
1740,914,3530,810
1741,915,3529,808
1742,915,3512,800
1743,916,3503,794
1744,916,3500,798
1745,917,3495,793
1746,917,3491,802
1747,918,3492,812
1748,918,3493,811
1749,919,3449,836
1750,919,3411,901
1751,920,3389,936
1752,920,3392,932
1753,921,3389,932
1754,921,3386,937
1755,922,3381,957
1756,922,3382,958
1757,923,3383,932
1758,923,3383,930
1759,924,3380,931
1760,924,3382,929
1761,925,3368,946
1762,925,3376,944
1763,926,3379,942
1764,926,3386,936
1765,927,3392,929
1766,927,3395,932
1767,928,3394,943
1768,928,3397,940
1769,929,3401,935
1770,929,3400,933
1771,930,3363,971
1772,930,3351,984
1773,931,3357,965
1774,931,3356,965
1775,932,3336,1009
1776,932,3336,1009
1777,933,3335,1011
1778,933,3334,1010
1779,934,3338,1011
1780,934,3338,1011
1781,935,3351,975
1782,935,3351,975
1783,936,3336,1024
1784,936,3336,1023
1785,937,3332,1028
1786,937,3334,1024
1787,938,3334,1006
1788,938,3335,1004
1789,939,3325,1018
1790,939,3326,1015
1791,940,3325,984
1792,940,3327,980
1793,941,3328,996
1794,941,3360,987
1795,942,3363,973
1796,942,3366,972
1797,943,3377,968
1798,943,3380,969
1799,944,3372,978
1800,944,3377,979
1801,945,3374,977
1802,945,3376,976
1803,946,3370,991
1804,946,3326,1070
1805,947,3298,1152
1806,947,3282,1190
1807,948,3264,1223
1808,948,3262,1234
1809,949,3263,1229
1810,949,3264,1229
1811,950,3258,1243
1812,950,3262,1236
1813,951,3266,1238
1814,951,3273,1240
1815,952,3247,1241
1816,952,3245,1251
1817,953,3128,1232
1818,953,3093,1265
1819,954,3149,1188
1820,954,3149,1189
1821,955,3074,1284
1822,955,3085,1287
1823,956,3185,1151
1824,956,3192,1153
1825,957,3132,1237
1826,957,3139,1230
1827,958,3118,1279
1828,958,3128,1267
1829,959,3103,1292
1830,959,3107,1284
1831,960,3111,1172
1832,960,3091,1173
1833,961,3015,1235
1834,961,3020,1229
1835,962,3002,1233
1836,962,2997,1231
1837,963,2913,1280
1838,963,2914,1272
1839,964,2881,1261
1840,964,2887,1255
1841,965,2797,1286
1842,965,2809,1278
1843,966,2870,1261
1844,966,2882,1253
1845,967,2924,1208
1846,967,2931,1203
1847,968,2900,1247
1848,968,2906,1242
1849,969,2847,1282
1850,969,2858,1274
1851,970,2867,1265
1852,970,2870,1262
1853,971,2951,1163
1854,971,2948,1156
1855,972,2837,1227
1856,972,2844,1212
1857,973,2829,1220
1858,973,2836,1208
1859,974,2854,1194
1860,974,2860,1189
1861,975,2928,1117
1862,975,2932,1112
1863,976,2916,1113
1864,976,2922,1112
