world_index,X,Y
181,3288.0,814.0
182,3344.0,871.0
182,3344.0,870.0
182,3351.0,870.0
182,3351.0,870.0
184,3354.0,870.0
184,3354.0,870.0
184,962.0,727.0
184,962.0,727.0
184,2843.0,-689.0
184,2804.0,-693.0
184,2976.0,646.0
184,2976.0,646.0
184,136.0,549.0
184,134.0,550.0
185,5933.0,1687.0
185,5828.0,1650.0
186,2027.0,1237.0
186,2017.0,1234.0
187,2710.0,594.0
187,2707.0,595.0
187,3140.0,674.0
187,3168.0,673.0
187,-7651.0,-1858.0
187,10875.0,3837.0
188,2992.0,1449.0
188,10403.0,2915.0
188,2161.0,1144.0
188,1942.0,1066.0
188,2652.0,814.0
188,2576.0,835.0
188,1404.0,1134.0
188,1040.0,1046.0
189,3550.0,658.0
189,2815.0,1072.0
189,3302.0,-1279.0
191,2935.0,946.0
192,2839.0,756.0
192,2838.0,749.0
193,2075.0,820.0
193,2076.0,820.0
193,762.0,783.0
193,757.0,785.0
193,1217.0,672.0
193,1213.0,673.0
194,3026.0,830.0
194,3057.0,852.0
194,2885.0,654.0
194,2900.0,696.0
195,3218.0,997.0
195,3225.0,998.0
197,2969.0,761.0
197,2991.0,793.0
197,3036.0,794.0
197,3020.0,778.0
197,2373.0,592.0
197,2377.0,594.0
198,2920.0,572.0
198,2978.0,696.0
198,3091.0,841.0
198,3073.0,828.0
198,3110.0,714.0
198,3104.0,713.0
199,3160.0,872.0
199,3195.0,890.0
199,3180.0,1017.0
199,3090.0,1060.0
199,2772.0,681.0
199,2890.0,683.0
199,-4752.0,-5158.0
199,10286.0,5466.0
200,2215.0,389.0
202,3411.0,818.0
202,3441.0,739.0
203,3185.0,778.0
203,2965.0,713.0
204,2819.0,734.0
204,2911.0,745.0
205,2533.0,605.0
205,2673.0,613.0
206,2761.0,764.0
206,2769.0,800.0
207,2712.0,757.0
207,2644.0,739.0
208,2877.0,742.0
208,2884.0,769.0
210,2929.0,721.0
210,2802.0,724.0
210,2719.0,726.0
210,2732.0,716.0
212,2818.0,625.0
212,2799.0,673.0
213,2781.0,1044.0
213,2781.0,1044.0
215,2837.0,1132.0
215,2814.0,1098.0
215,2767.0,1042.0
215,2773.0,1050.0
216,2780.0,1044.0
216,2780.0,1044.0
218,2793.0,1055.0
218,2793.0,1055.0
220,2496.0,753.0
220,2507.0,752.0
221,2781.0,1044.0
221,2781.0,1044.0
223,2732.0,983.0
223,2730.0,980.0
223,2781.0,1044.0
223,2781.0,1044.0
225,2788.0,1026.0
225,2788.0,1025.0
227,2781.0,1044.0
227,2781.0,1044.0
228,2673.0,1024.0
228,2669.0,1023.0
230,2782.0,1045.0
230,2782.0,1045.0
231,2606.0,825.0
231,2627.0,857.0
233,2597.0,1005.0
233,2530.0,1106.0
235,2780.0,1038.0
235,2780.0,1038.0
237,2781.0,1044.0
237,2781.0,1044.0
239,2781.0,1044.0
239,2781.0,1044.0
240,2781.0,1044.0
240,2781.0,1044.0
242,2437.0,919.0
242,2438.0,915.0
244,2411.0,899.0
244,2423.0,889.0
246,2630.0,879.0
246,2509.0,862.0
248,2529.0,862.0
248,2418.0,848.0
249,2435.0,839.0
249,2556.0,848.0
250,2603.0,947.0
250,2629.0,1081.0
252,2528.0,993.0
252,2535.0,1006.0
252,2643.0,1163.0
252,2647.0,1168.0
254,2650.0,977.0
254,2652.0,978.0
256,2951.0,639.0
256,2951.0,639.0
258,2595.0,1107.0
258,2560.0,1013.0
259,2584.0,993.0
259,2587.0,1002.0
259,2682.0,995.0
261,2523.0,395.0
261,2395.0,142.0
263,2403.0,81.0
263,2401.0,65.0
264,2340.0,-39.0
264,2344.0,-33.0
264,2286.0,-67.0
264,2293.0,-53.0
265,2403.0,26.0
265,2404.0,28.0
266,2368.0,-39.0
266,2368.0,-37.0
266,2073.0,50.0
266,2034.0,95.0
268,1854.0,-21.0
268,1879.0,-24.0
268,2184.0,125.0
268,2175.0,124.0
268,2151.0,156.0
268,2174.0,180.0
269,2161.0,188.0
269,2265.0,216.0
269,2262.0,144.0
269,2286.0,132.0
269,2233.0,112.0
269,2235.0,126.0
270,2214.0,144.0
270,2247.0,158.0
270,2205.0,237.0
270,2209.0,256.0
271,2192.0,257.0
271,2211.0,241.0
271,2218.0,233.0
271,2239.0,191.0
271,2140.0,156.0
271,2294.0,155.0
272,2543.0,162.0
272,2665.0,202.0
272,2769.0,179.0
272,2820.0,151.0
272,2885.0,100.0
272,2896.0,97.0
273,2878.0,178.0
273,2832.0,210.0
273,2750.0,223.0
273,2723.0,242.0
273,2786.0,194.0
273,2693.0,193.0
274,2622.0,236.0
274,2605.0,237.0
274,2690.0,208.0
274,2686.0,207.0
274,2594.0,231.0
274,2594.0,234.0
274,2657.0,230.0
274,2650.0,234.0
275,2558.0,194.0
275,2552.0,190.0
276,2586.0,171.0
276,2585.0,159.0
277,2585.0,166.0
277,2589.0,158.0
278,2597.0,146.0
278,2600.0,138.0
279,2602.0,156.0
279,2605.0,151.0
280,2561.0,167.0
280,2571.0,156.0
281,2651.0,79.0
281,2714.0,-10.0
282,2728.0,47.0
282,2742.0,32.0
283,2848.0,-3.0
283,2858.0,-43.0
284,3282.0,-479.0
284,3222.0,-496.0
285,3094.0,-219.0
285,3063.0,-245.0
287,3203.0,-140.0
287,3095.0,78.0
287,2955.0,359.0
287,3028.0,518.0
288,6317.0,1892.0
289,2824.0,1051.0
290,3296.0,1034.0
292,4028.0,1903.0
292,4117.0,2048.0
293,3577.0,1404.0
293,3473.0,1307.0
294,4232.0,1787.0
294,4008.0,1741.0
295,3159.0,951.0
295,3158.0,922.0
296,3560.0,1140.0
296,3501.0,1143.0
298,3228.0,906.0
298,3172.0,882.0
299,3359.0,922.0
299,3419.0,892.0
301,2782.0,1039.0
303,3355.0,832.0
303,3341.0,819.0
304,3464.0,1024.0
304,3455.0,1035.0
306,3523.0,1183.0
306,3529.0,1224.0
308,3455.0,1086.0
308,3452.0,1083.0
309,3452.0,1086.0
309,3448.0,1089.0
310,3333.0,916.0
319,3401.0,663.0
321,3429.0,596.0
321,3444.0,568.0
323,3401.0,635.0
323,3314.0,468.0
324,3063.0,978.0
324,2911.0,1006.0
325,2732.0,1116.0
325,2701.0,1136.0
326,2614.0,1174.0
326,2635.0,1169.0
327,2372.0,1032.0
327,2372.0,1030.0
328,2547.0,1107.0
328,2525.0,1128.0
329,2782.0,1044.0
329,2782.0,1044.0
329,2781.0,1044.0
329,2781.0,1044.0
330,2620.0,1157.0
330,2600.0,1169.0
330,2781.0,1044.0
330,2781.0,1044.0
331,2781.0,1044.0
331,2781.0,1044.0
332,2802.0,1394.0
332,2802.0,1346.0
334,2454.0,1224.0
334,2469.0,1188.0
335,2466.0,1048.0
335,2488.0,1030.0
336,2498.0,1021.0
336,2501.0,1019.0
336,2530.0,1028.0
336,2527.0,1039.0
336,2493.0,1045.0
336,2494.0,1042.0
337,2571.0,989.0
337,2565.0,1002.0
337,3426.0,692.0
337,3336.0,740.0
337,4368.0,616.0
337,4478.0,662.0
338,4239.0,590.0
338,4280.0,566.0
339,4778.0,744.0
339,4782.0,720.0
340,4572.0,645.0
340,4617.0,598.0
341,4570.0,573.0
341,4563.0,587.0
344,4567.0,584.0
344,4555.0,588.0
345,4558.0,590.0
345,4556.0,592.0
347,470.0,887.0
347,468.0,887.0
348,4528.0,626.0
350,4398.0,613.0
350,4409.0,620.0
352,4454.0,603.0
352,4449.0,607.0
353,4457.0,619.0
353,4451.0,619.0
354,4444.0,575.0
354,4430.0,578.0
356,4360.0,497.0
356,4364.0,496.0
357,4823.0,948.0
357,4815.0,896.0
359,4583.0,617.0
359,4587.0,633.0
361,4534.0,675.0
361,4544.0,690.0
362,519.0,879.0
362,519.0,879.0
363,4377.0,612.0
363,4392.0,620.0
365,4605.0,642.0
365,4588.0,644.0
367,206.0,938.0
367,202.0,938.0
368,511.0,880.0
368,511.0,880.0
369,4348.0,532.0
369,4344.0,534.0
371,4614.0,611.0
371,4615.0,605.0
372,2610.0,1445.0
372,2674.0,1294.0
374,4392.0,558.0
374,4434.0,566.0
375,4370.0,543.0
375,4372.0,543.0
376,4291.0,507.0
378,4464.0,566.0
378,4471.0,559.0
379,4510.0,544.0
379,4486.0,552.0
388,4450.0,526.0
388,4294.0,500.0
391,4185.0,387.0
392,4436.0,451.0
392,4414.0,497.0
394,4323.0,514.0
394,4309.0,525.0
396,2394.0,624.0
396,2394.0,624.0
398,4301.0,513.0
398,4304.0,512.0
398,4304.0,509.0
404,509.0,880.0
404,508.0,880.0
406,511.0,880.0
406,511.0,880.0
407,509.0,880.0
407,509.0,880.0
408,4261.0,511.0
408,4264.0,512.0
409,4370.0,539.0
415,2444.0,604.0
415,2439.0,605.0
415,2512.0,383.0
415,2951.0,639.0
416,2781.0,1044.0
416,2781.0,1044.0
417,2442.0,613.0
418,2441.0,602.0
419,2087.0,-1.0
419,2082.0,80.0
421,2101.0,189.0
421,2109.0,211.0
423,2951.0,639.0
423,2951.0,639.0
424,2441.0,612.0
424,2442.0,613.0
425,2442.0,614.0
425,2441.0,614.0
427,2210.0,128.0
427,2279.0,113.0
