world_index,X,Y
0,478.8623352050781,221.090087890625
1,479.51751708984375,222.0702362060547
2,482.73297119140625,227.17062377929688
3,486.6820983886719,229.13238525390625
4,486.5736083984375,228.65426635742188
5,484.1183166503906,228.85171508789062
6,486.37664794921875,220.89112854003906
7,484.0810241699219,229.72708129882812
8,487.76849365234375,227.29197692871094
9,284.3009948730469,326.2499694824219
10,471.4998474121094,218.84402465820312
11,481.0741271972656,210.2650604248047
12,484.96337890625,231.05355834960938
13,392.3384704589844,278.8219299316406
14,485.5761413574219,228.96241760253906
15,490.1746520996094,227.88818359375
16,485.5750427246094,228.9244842529297
17,510.1261291503906,209.14071655273438
18,485.5247497558594,228.70701599121094
19,428.50311279296875,-101.84087371826172
20,468.69915771484375,224.07180786132812
21,485.5447692871094,228.9156494140625
22,484.6616516113281,228.25404357910156
23,377.7973327636719,261.8744201660156
24,361.0653076171875,120.74354553222656
25,430.1094055175781,153.85577392578125
26,,
27,462.2897033691406,182.26736450195312
28,,
29,-133.6333465576172,-109.17597961425781
30,499.6841735839844,223.9069061279297
31,431.8774108886719,176.44027709960938
32,427.0574035644531,173.58364868164062
33,419.9957275390625,173.99819946289062
34,417.4467468261719,174.8759307861328
35,411.7386169433594,172.52011108398438
36,401.2463073730469,179.06800842285156
37,398.3584899902344,164.54617309570312
38,402.3792724609375,171.03372192382812
39,409.3016357421875,170.6211395263672
40,396.3055419921875,167.3897705078125
41,398.335693359375,171.72755432128906
42,396.0635986328125,170.79209899902344
43,393.0747985839844,173.3231964111328
44,394.5645446777344,172.59756469726562
45,481.347900390625,227.97705078125
46,481.02508544921875,227.75572204589844
47,485.6163330078125,228.95225524902344
48,390.0822448730469,173.67161560058594
49,389.6161193847656,176.5442352294922
50,402.0407409667969,185.7061309814453
51,389.65509033203125,189.10227966308594
52,397.2367858886719,177.7305145263672
53,392.3018798828125,180.98529052734375
54,391.47552490234375,184.94761657714844
55,485.62017822265625,228.85606384277344
56,394.9228820800781,183.37713623046875
57,390.0850524902344,184.03213500976562
58,394.0340881347656,190.2194366455078
59,388.17352294921875,185.41937255859375
60,387.7659912109375,187.211669921875
61,383.5219421386719,187.0198211669922
62,383.6895751953125,185.8433380126953
63,382.63818359375,188.76339721679688
64,382.4757385253906,188.29644775390625
65,381.90130615234375,190.11431884765625
66,382.9020690917969,197.18963623046875
67,375.0285949707031,181.18212890625
68,431.77264404296875,249.6763916015625
69,385.4720764160156,190.2136993408203
70,377.56689453125,191.8066864013672
71,381.8241271972656,196.3847198486328
72,375.9636535644531,190.92535400390625
73,377.5175476074219,188.29367065429688
74,379.9187316894531,198.50729370117188
75,373.74310302734375,187.6424560546875
76,375.3394775390625,190.7158203125
77,375.66552734375,191.41514587402344
78,374.0819396972656,189.2699432373047
79,481.71795654296875,241.78094482421875
80,376.6446533203125,192.59552001953125
81,378.6898193359375,197.26292419433594
82,386.2400207519531,194.9466094970703
83,385.7727355957031,191.13241577148438
84,385.13995361328125,199.12550354003906
85,375.5791320800781,194.13467407226562
86,374.95916748046875,192.3734893798828
87,374.2578125,192.77439880371094
88,376.60943603515625,191.10987854003906
89,383.4397277832031,193.73397827148438
90,370.38714599609375,188.7261199951172
91,374.5329895019531,191.00189208984375
92,486.07940673828125,228.81491088867188
93,369.1320495605469,192.02081298828125
94,370.57745361328125,228.34768676757812
95,483.74102783203125,229.64447021484375
96,404.0636291503906,231.5597381591797
97,371.9767150878906,192.9501495361328
