,world_index,X,Y
35347,19389,2318.0,1127.0
35348,19390,2439.0,613.0
35349,19390,2439.0,613.0
35350,19391,2361.0,1100.0
35351,19391,2363.0,1102.0
35352,19392,2354.0,1089.0
35353,19392,2347.0,1085.0
35354,19393,2274.0,1171.0
35355,19393,2281.0,1169.0
35356,19394,2363.0,1097.0
35357,19394,2361.0,1110.0
35358,19395,2373.0,1055.0
35359,19395,2385.0,1047.0
35360,19396,2396.0,1052.0
35361,19396,2395.0,1056.0
35362,19397,2316.0,1141.0
35363,19397,2320.0,1142.0
35364,19398,2378.0,1088.0
35365,19398,2366.0,1099.0
35366,19399,2269.0,1005.0
35367,19399,2265.0,1005.0
35368,19400,2368.0,1117.0
35369,19400,2366.0,1101.0
35370,19401,2256.0,1059.0
35371,19401,2252.0,1074.0
35372,19402,2357.0,1129.0
35373,19402,2358.0,1127.0
35374,19403,2410.0,1063.0
35375,19403,2405.0,1082.0
35376,19404,2325.0,981.0
35377,19404,2334.0,977.0
35378,19405,2426.0,1050.0
35379,19405,2428.0,1047.0
35380,19406,2412.0,1060.0
35381,19406,2412.0,1058.0
35382,19407,2346.0,1040.0
35383,19407,2347.0,1038.0
35384,19408,2442.0,1023.0
35385,19408,2442.0,1022.0
35386,19409,2415.0,1041.0
35387,19409,2415.0,1040.0
35388,19410,2359.0,1045.0
35389,19410,2358.0,1045.0
35390,19411,2390.0,1071.0
35391,19411,2376.0,1080.0
35392,19412,2426.0,1036.0
35393,19412,2427.0,1035.0
35394,19413,2411.0,1062.0
35395,19413,2409.0,1062.0
35396,19414,2414.0,1060.0
35397,19414,2413.0,1060.0
35398,19415,2426.0,1030.0
35399,19415,2429.0,1029.0
35400,19416,2391.0,1061.0
35401,19416,2396.0,1060.0
35402,19417,2399.0,1056.0
35403,19417,2396.0,1067.0
35404,19418,2387.0,1073.0
35405,19418,2388.0,1074.0
35406,19419,2385.0,1079.0
35407,19419,2385.0,1080.0
35408,19420,2385.0,1081.0
35409,19420,2385.0,1081.0
35410,19421,2375.0,1085.0
35411,19421,2374.0,1086.0
35412,19422,2383.0,1085.0
35413,19422,2382.0,1086.0
35414,19423,2385.0,1058.0
35415,19423,2385.0,1062.0
35416,19424,2381.0,1083.0
35417,19424,2382.0,1082.0
35418,19425,2395.0,1078.0
35419,19425,2396.0,1078.0
35420,19426,2398.0,1068.0
